year,school_code,district,quota_count
2026,012005,静安区,6
2026,012007,静安区,1
2026,012008,静安区,2
2026,012009,静安区,2
2026,012011,静安区,4
2026,042001,静安区,5
2026,042008,静安区,10
2026,042035,静安区,3
2026,043015,静安区,3
2026,042036,静安区,4
2026,052001,静安区,7
2026,052002,静安区,8
2026,053004,静安区,6
2026,062001,静安区,7
2026,062002,静安区,8
2026,062003,静安区,7
2026,062004,静安区,8
2026,062011,静安区,3
2026,063004,静安区,6
2026,064001,静安区,4
2026,072001,静安区,8
2026,072002,静安区,13
2026,073003,静安区,10
2026,073082,静安区,8
2026,092001,静安区,12
2026,092002,静安区,4
2026,093001,静安区,6
2026,102004,静安区,4
2026,102032,静安区,11
