id,code,full_name,short_name,district,school_type_id,school_nature_id
218,154050,上海市南汇第一中学,南汇一中,浦东新区,DISTRICT_MODEL,PUBLIC
217,154046,上海交通大学附属中学浦东实验高中,交附浦实,浦东新区,DISTRICT_MODEL,PUBLIC
345,143003,上海市嘉定区安亭高级中学,安亭高级中学,嘉定区,DISTRICT_EXPERIMENTAL,PUBLIC
133,104021,上海市民办上实剑桥外国语中学,上实剑桥,杨浦区,GENERAL,PRIVATE
123,103039,上海理工大学附属中学,上理工附中,杨浦区,CITY_FEATURED,PUBLIC
62,044083,上海市民办西南高级中学,西南高中,徐汇区,GENERAL,PRIVATE
112,093001,上海财经大学附属北郊高级中学,北郊高中,虹口区,CITY_MODEL,PUBLIC
115,093004,上海市继光高级中学,继光高中,虹口区,GENERAL,PUBLIC
172,134003,上海市淞浦中学,淞浦中学,宝山区,GENERAL,PUBLIC
152,124020,上海市金汇高级中学,金汇高中,闵行区,GENERAL,PUBLIC
68,053004,上海市复旦中学,复旦中学,长宁区,CITY_MODEL,PUBLIC
155,124111,上海协和双语高级中学,协和双语,闵行区,GENERAL,PRIVATE
180,135001,上海市同洲模范学校,同洲模范,宝山区,GENERAL,PRIVATE
158,125008,上海交通大学附属闵行实验学校,交附闵实,闵行区,GENERAL,PUBLIC
229,154052,上海市泥城中学,泥城中学,浦东新区,GENERAL,PUBLIC
65,044101,上海市位育附属徐汇科技实验中学,位育实验,徐汇区,DISTRICT_MODEL,PUBLIC
168,133003,华东师范大学第二附属中学（宝山校区）,华二宝山,宝山区,CITY_POLICY,PUBLIC
185,142004,上海师范大学附属中学嘉定新城分校,上师大嘉定,嘉定区,CITY_POLICY,PUBLIC
50,042035,上海市位育中学,位育中学,徐汇区,CITY_MODEL,PUBLIC
79,062011,上海市回民中学,回民中学,静安区,CITY_MODEL,PUBLIC
36,012009,上海市敬业中学,敬业中学,黄浦区,CITY_MODEL,PUBLIC
66,052001,上海市第三女子中学,市三女中,长宁区,CITY_MODEL,PUBLIC
84,063001,上海市民立中学,民立中学,静安区,DISTRICT_MODEL,PUBLIC
142,124005,华东理工大学附属闵行科技高级中学,华理闵行,闵行区,GENERAL,PUBLIC
166,133001,上海市吴淞中学,吴淞中学,宝山区,CITY_MODEL,PUBLIC
192,145030,上海嘉定区民办华盛怀少学校,华盛怀少,嘉定区,GENERAL,PRIVATE
139,124006,上海市闵行第三中学,闵行三中,闵行区,CITY_FEATURED,PUBLIC
120,102004,上海市杨浦高级中学,杨浦高级,杨浦区,CITY_MODEL,PUBLIC
328,153002,华东师范大学附属东昌中学,东昌中学,浦东新区,DISTRICT_FEATURED,PUBLIC
56,044107,上海市第五十四中学,市五十四中学,徐汇区,GENERAL,PUBLIC
222,152008,上海市进才中学根林分校,进才根林,浦东新区,GENERAL,PUBLIC
