2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
徐汇区,,上海新纪元双语学校,517.5,304.5,71,112,82,否,未录满,
普陀区,073082,华东师范大学第二附属中学,708,415,145,128,146,否,,
普陀区,072002,上海市曹杨第二中学,700.5,408.5,131,134,145,否,,
普陀区,074085,上海市曹杨第二中学东校,698.5,412.5,132,142,141,否,,
普陀区,072001,上海市晋元高级中学,693.5,407.5,130,132,143,否,,
普陀区,074087,上海市晋元高级中学南校,692.5,403.5,136,127,144,否,,
普陀区,073003,上海市宜川中学,686,409,144,129,142,否,,
普陀区,073004,上海市曹杨中学,672,393,110,135,134,否,,
普陀区,074007,上海市甘泉外国语中学,661.5,391.5,130,124,131,否,,
普陀区,074005,同济大学第二附属中学,652.5,385.5,127,125,130,否,,
普陀区,074010,上海市长征中学,634.5,365,102,125,130,否,,
普陀区,074016,上海音乐学院附属安师实验中学,620.5,356.5,110,117,126,否,,
普陀区,079016,上海音乐学院附属安师实验中学,614,363,100,125,115,否,只招收经学校艺术特长测试合格的学生。,
普陀区,074207,上海市甘泉外国语中学,604,341,102,125,120,否,限招甘泉外国语中学初三德语班报考德语的应届学生。,
普陀区,074011,上海市桃浦中学,601,329,119,113,130,否,,
普陀区,074018,上海华东师范大学附属进华中学,590.5,345,105,113,105.5,否,,
普陀区,074407,上海市甘泉外国语中学,588.5,340.5,93,107,106,否,限招甘泉外国语中学初三西班牙语班报考西班牙语的应届学生。,
普陀区,074107,上海市甘泉外国语中学,584.5,327.5,105,116,119,否,限招甘泉外国语中学初三 日语班报考日语的应届学生。,
普陀区,074307,上海市甘泉外国语中学,571.5,335.5,90,115,103,否,限招甘泉外国语中学初三法语班报考法语的应届学生。,
普陀区,075013,上海培佳双语学校,570.5,340.5,91,113,100,否,,
普陀区,074081,上海安生学校,516.5,287,103,88,108,否,未招满,
普陀区,014006,上海市同济黄浦设计创意中学,652.5,370.5,124,116,141,否,,
普陀区,042032,上海市上海中学,718,428,142,138,143,否,,
普陀区,063008,上海市久隆模范中学,577.5,331.5,108,103,109,否,,
普陀区,064020,上海田家炳中学,661.5,385.5,119,122,135,否,,
普陀区,064021,上海市民办扬波中学,568.5,338,97,116,100,否,,
普陀区,064024,上海市民办风范中学,555,320,116,113,106,否,,
普陀区,069004,上海戏剧学院附属高级中学,621.5,362.5,110,128,118,否,只招收经学校艺术特长测试合格的学生。,
普陀区,102056,上海交通大学附属中学,719.5,423.5,142,133,147,否,,
普陀区,102057,复旦大学附属中学,718,423,147,129,148,否,,
普陀区,124116,上海市民办燎原双语高级中学,556.5,295.5,83,112,118,否,,
普陀区,125117,上海闵行区诺达双语学校,,,,,,,,
普陀区,125119,上海闵行区民办德闳学校,,,,,,,,
普陀区,134010,上海民办行中中学,484.5,248,73,104,108,否,未招满,
普陀区,134012,上海存志高级中学,645,375,108,127,130,否,,
普陀区,134013,上海宝山区民办维尚高级中学,510.5,294,70,120,94,否,未招满,
普陀区,134014,上海创艺高级中学,496,274,92,109,94,否,未招满,
普陀区,134015,上海市宝山华曜高级中学,611,345.5,115,112,122.5,否,,
普陀区,135001,上海市同洲模范学校,529,295.5,119,109,99,否,,
普陀区,135003,上海金瑞学校,,,,,,,,
普陀区,135034,上海宝山区世外学校,696,414,139,127,137,否,,
普陀区,145018,上海华旭双语学校,564,327.5,85,117,104,否,未招满,
普陀区,145030,上海嘉定区民办华盛怀少学校,,,,,,,,
普陀区,152003,华东师范大学第二附属中学,717,430,146,138,139,否,,
普陀区,152006,上海师范大学附属中学,700,418.5,147,127,137.5,否,,
普陀区,154033,上海市浦东新区民办浦实高级中学,,,,,,,,
普陀区,154039,上海市民办丰华高级中学,506,294.5,75,104,81,否,未招满,
普陀区,154048,民办上海工商外国语职业学院附属中学,520,280,125,98,105,否,,
普陀区,155013,上海市民办金苹果学校,501,267,89,106,107,否,未招满,
普陀区,155041,上海浦东新区民办东鼎外国语学校,493,281,85,94,92.5,否,,
普陀区,155043,上海市民办尚德实验学校,643,377,125,124,128,否,,
普陀区,164005,上海市民办交大南洋中学,511,273.5,99,98,103.5,否,,
普陀区,164008,上海市民办永昌中学,,,,,,,,
普陀区,165004,上海金山区世外学校,643,374,118,118,125,否,,
